"Sex","Province or County","CensusYear","Statistic Label","UNIT","VALUE"
"Female","Limerick","1881","Population Change since previous Census","Number","-6503"
"Female","Limerick","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-6.8"
"Female","Limerick","1891","Population","Number","80305"
"Female","Limerick","1891","Population Change since previous Census","Number","-12016"
"Female","Limerick","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-13.8"
"Female","Limerick","1901","Population","Number","73642"
"Female","Limerick","1901","Population Change since previous Census","Number","-6663"
"Female","Limerick","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-8.6"
"Female","Limerick","1911","Population","Number","70840"
"Female","Limerick","1911","Population Change since previous Census","Number","-2802"
"Female","Limerick","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Female","Limerick","1926","Population","Number","69171"
"Female","Limerick","1926","Population Change since previous Census","Number","-1669"
"Female","Limerick","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-1.6"
"Female","Limerick","1936","Population","Number","68746"
"Female","Limerick","1936","Population Change since previous Census","Number","-425"
"Female","Limerick","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-0.6"
"Female","Limerick","1946","Population","Number","70520"
"Female","Limerick","1946","Population Change since previous Census","Number","1774"
"Female","Limerick","1946","Annual Rate of Population Increase","No. per 1000 Pop.","2.6"
"Female","Limerick","1951","Population","Number","69548"
"Female","Limerick","1951","Population Change since previous Census","Number","-972"
"Female","Limerick","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-2.8"
"Female","Limerick","1956","Population","Number","68259"
"Female","Limerick","1956","Population Change since previous Census","Number","-1289"
"Female","Limerick","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-3.7"
"Female","Limerick","1961","Population","Number","66166"
"Female","Limerick","1961","Population Change since previous Census","Number","-2093"
"Female","Limerick","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-6.2"
"Female","Limerick","1966","Population","Number","68222"
"Female","Limerick","1966","Population Change since previous Census","Number","2056"
"Female","Limerick","1966","Annual Rate of Population Increase","No. per 1000 Pop.","6.1"
"Female","Limerick","1971","Population","Number","69673"
"Female","Limerick","1971","Population Change since previous Census","Number","1451"
"Female","Limerick","1971","Annual Rate of Population Increase","No. per 1000 Pop.","4.2"
"Female","Limerick","1979","Population","Number","78105"
"Female","Limerick","1979","Population Change since previous Census","Number","8432"
"Female","Limerick","1979","Annual Rate of Population Increase","No. per 1000 Pop.","14.4"
"Female","Limerick","1981","Population","Number","80066"
"Female","Limerick","1981","Population Change since previous Census","Number","1961"
"Female","Limerick","1981","Annual Rate of Population Increase","No. per 1000 Pop.","12.5"
"Female","Limerick","1986","Population","Number","81883"
"Female","Limerick","1986","Population Change since previous Census","Number","1817"
"Female","Limerick","1986","Annual Rate of Population Increase","No. per 1000 Pop.","4.5"
"Female","Limerick","1991","Population","Number","80862"
"Female","Limerick","1991","Population Change since previous Census","Number","-1021"
"Female","Limerick","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-2.5"
"Female","Limerick","1996","Population","Number","82496"
"Female","Limerick","1996","Population Change since previous Census","Number","1634"
"Female","Limerick","1996","Annual Rate of Population Increase","No. per 1000 Pop.","4"
"Female","Limerick","2002","Population","Number","87673"
"Female","Limerick","2002","Population Change since previous Census","Number","5177"
"Female","Limerick","2002","Annual Rate of Population Increase","No. per 1000 Pop.","10.2"
"Female","Limerick","2006","Population","Number","91375"
"Female","Limerick","2006","Population Change since previous Census","Number","3702"
"Female","Limerick","2006","Annual Rate of Population Increase","No. per 1000 Pop.","10.4"
"Female","Limerick","2011","Population","Number","95994"
"Female","Limerick","2011","Population Change since previous Census","Number","4619"
"Female","Limerick","2011","Annual Rate of Population Increase","No. per 1000 Pop.","9.9"
"Female","Limerick","2016","Population","Number","97559"
"Female","Limerick","2016","Population Change since previous Census","Number","1565"
"Female","Limerick","2016","Annual Rate of Population Increase","No. per 1000 Pop.","3.2"
"Female","Tipperary","1841","Population","Number","218903"
"Female","Tipperary","1841","Population Change since previous Census","Number",""
"Female","Tipperary","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Female","Tipperary","1851","Population","Number","171543"
"Female","Tipperary","1851","Population Change since previous Census","Number","-47360"
"Female","Tipperary","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-24.1"
"Female","Tipperary","1861","Population","Number","126623"
"Female","Tipperary","1861","Population Change since previous Census","Number","-44920"
"Female","Tipperary","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-29.9"
"Female","Tipperary","1871","Population","Number","110214"
"Female","Tipperary","1871","Population Change since previous Census","Number","-16409"
"Female","Tipperary","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-13.8"
"Female","Tipperary","1881","Population","Number","100857"
"Female","Tipperary","1881","Population Change since previous Census","Number","-9357"
"Female","Tipperary","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-8.8"
"Female","Tipperary","1891","Population","Number","86381"
"Female","Tipperary","1891","Population Change since previous Census","Number","-14476"
"Female","Tipperary","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-15.4"
"Female","Tipperary","1901","Population","Number","78833"
"Female","Tipperary","1901","Population Change since previous Census","Number","-7548"
"Female","Tipperary","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-9.1"
"Female","Tipperary","1911","Population","Number","73849"
"Female","Tipperary","1911","Population Change since previous Census","Number","-4984"
"Female","Tipperary","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-6.5"
"Female","Tipperary","1926","Population","Number","68111"
"Female","Tipperary","1926","Population Change since previous Census","Number","-5738"
"Female","Tipperary","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-5.4"
"Female","Tipperary","1936","Population","Number","65438"
"Female","Tipperary","1936","Population Change since previous Census","Number","-2673"
"Female","Tipperary","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-4"
"Female","Tipperary","1946","Population","Number","65015"
"Female","Tipperary","1946","Population Change since previous Census","Number","-423"
"Female","Tipperary","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-0.6"
"Female","Tipperary","1951","Population","Number","63447"
"Female","Tipperary","1951","Population Change since previous Census","Number","-1568"
"Female","Tipperary","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-4.9"
"Female","Tipperary","1956","Population","Number","62017"
"Female","Tipperary","1956","Population Change since previous Census","Number","-1430"
"Female","Tipperary","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-4.5"
"Female","Tipperary","1961","Population","Number","59681"
"Female","Tipperary","1961","Population Change since previous Census","Number","-2336"
"Female","Tipperary","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-7.6"
"Female","Tipperary","1966","Population","Number","59396"
"Female","Tipperary","1966","Population Change since previous Census","Number","-285"
"Female","Tipperary","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-1"
"Female","Tipperary","1971","Population","Number","60042"
"Female","Tipperary","1971","Population Change since previous Census","Number","646"
"Female","Tipperary","1971","Annual Rate of Population Increase","No. per 1000 Pop.","2.2"
"Female","Tipperary","1979","Population","Number","64864"
"Female","Tipperary","1979","Population Change since previous Census","Number","4822"
"Female","Tipperary","1979","Annual Rate of Population Increase","No. per 1000 Pop.","9.7"
"Female","Tipperary","1981","Population","Number","65758"
"Female","Tipperary","1981","Population Change since previous Census","Number","894"
"Female","Tipperary","1981","Annual Rate of Population Increase","No. per 1000 Pop.","6.9"
"Female","Tipperary","1986","Population","Number","66891"
"Female","Tipperary","1986","Population Change since previous Census","Number","1133"
"Female","Tipperary","1986","Annual Rate of Population Increase","No. per 1000 Pop.","3.4"
"Female","Tipperary","1991","Population","Number","65350"
"Female","Tipperary","1991","Population Change since previous Census","Number","-1541"
"Female","Tipperary","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-4.7"
"Female","Tipperary","1996","Population","Number","65933"
"Female","Tipperary","1996","Population Change since previous Census","Number","583"
"Female","Tipperary","1996","Annual Rate of Population Increase","No. per 1000 Pop.","1.8"
"Female","Tipperary","2002","Population","Number","69268"
"Female","Tipperary","2002","Population Change since previous Census","Number","3335"
"Female","Tipperary","2002","Annual Rate of Population Increase","No. per 1000 Pop.","8.3"
"Female","Tipperary","2006","Population","Number","73426"
"Female","Tipperary","2006","Population Change since previous Census","Number","4158"
"Female","Tipperary","2006","Annual Rate of Population Increase","No. per 1000 Pop.","14.7"
"Female","Tipperary","2011","Population","Number","79170"
"Female","Tipperary","2011","Population Change since previous Census","Number","5744"
"Female","Tipperary","2011","Annual Rate of Population Increase","No. per 1000 Pop.","15.1"
"Female","Tipperary","2016","Population","Number","79885"
"Female","Tipperary","2016","Population Change since previous Census","Number","715"
"Female","Tipperary","2016","Annual Rate of Population Increase","No. per 1000 Pop.","1.8"
"Female","North Tipperary","1841","Population","Number","100603"
